Brand,Capacity(kg),Price,Rating(out of 5),Total rating,Total reviews,
Midea,7,24490,,4349,52,
Midea,7,24490,4.4,909,470,
Midea,7,24490,4.4,827,360,
Midea,7,24490,4.3,815,462,
Midea,7,24490,4.2,790,349,
Midea,7,24490,4.3,694,2045,
Midea,7,24490,4.3,669,711,
Midea,7,24490,4.4,664,4594,
Midea,7,24490,4.3,567,2777,
Midea,7,24490,,511,0,
Midea,7,24490,,431,4,
Midea,7,24490,4.4,88,76,
Midea,7,24490,4.4,84,1416,
Midea,7,24490,4.3,61,6574,
Midea,7,24490,4.3,61,6574,
Midea,7,24490,3.5,,0,
IFB,6.5,24490,3.8,,8,
Midea,7,24490,3.9,,6,
Midea,7,24490,4.2,,0,
Midea,7,24490,4.2,,5,
Midea,7,24490,4.3,,70,
Midea,7,24490,4.3,,71,
Midea,7,24490,4.4,,10,
Midea,7,24490,4.4,,113,
Midea,7,24490,4.4,,29,
Midea,7,24490,4.4,,113,
Midea,7,24490,4.5,,3,
Midea,7,24490,4.5,,18,
Midea,7,24490,4.6,,0,
Midea,7,24490,4.7,,1,
SAMSUNG,8,24000,4.3,55,1118,
IFB,6,23990,4.3,694,2045,
Godrej,7,23990,,56,1,
BOSCH,6,23990,4.2,,6,
BOSCH,7,23500,4.3,815,462,
LG,8,23490,4.3,992,1499,
Voltas,6.5,23490,4.2,,46,
Panasonic,8,23490,4.2,,12,
Lloyd,8,23289,,4349,52,
LG,7,23270,4.1,,2,
Voltas,6.5,22990,4.3,694,2045,
SAMSUNG,6,22990,4.4,567,2777,
IFB,6,22990,4.2,437,5274,
IFB,6,22990,4.2,,0,
Thomson,10.5,22990,4.4,,6,
LG,7,22950,4.4,,113,
IFB,7,22590,,54,1,
Galanz,8,22490,4.3,,116,
Voltas,8,22490,4.4,,8,
Whirlpool,7.5,22490,4.5,,2,
Intex,6,22390,4.3,61,6574,
SAMSUNG,7,22290,4.3,318,205,
SAMSUNG,7,22000,4.3,,5,
Lloyd,7,21990,2.8,,0,
Haier,6,21990,4.2,,76,
Voltas,6,21990,4.3,,7,
Haier,7.5,21990,4.4,,113,
LG,6.5,21990,4.4,,0,
Haier,7.5,21990,4.5,,68,
LG,6.5,21990,4.6,,3,
IFB,7,21989,4.6,,1,
BOSCH,7,21980,4.3,757,256,
LG,6.5,21940,4.3,55,1118,
Whirlpool,7.5,21850,4.3,694,2045,
IFB,5.5,21781,,432,1,
IFB,7,21600,4.3,55,1118,
SAMSUNG,8,21590,4.4,,100,
Panasonic,7,21499,3.7,,0,
SAMSUNG,8,21490,4.3,88,76,
